"Time (s)","Pressure (hPa)"
1.760217995E1,9.810402832E2
1.770217995E1,9.810222168E2
1.780217995E1,9.810209961E2
1.790217995E1,9.810051270E2
1.800217995E1,9.809853516E2
1.810218085E1,9.809819336E2
1.820218085E1,9.809614258E2
1.830218085E1,9.809553223E2
1.840218085E1,9.809689941E2
1.850218085E1,9.809494629E2
1.860218085E1,9.809475098E2
1.870218085E1,9.809514160E2
1.880218085E1,9.809267578E2
1.890218085E1,9.809101562E2
1.900449895E1,9.809240723E2
1.910449895E1,9.809167480E2
1.920449895E1,9.809221191E2
1.930449898E1,9.809062500E2
1.940449898E1,9.808820801E2
1.950449901E1,9.808840332E2
1.960449901E1,9.808889160E2
1.970449901E1,9.808916016E2
1.980449901E1,9.808986816E2
1.990449901E1,9.808852539E2
2.000449901E1,9.808684082E2
2.010446571E1,9.808496094E2
2.020443238E1,9.808413086E2
2.030439908E1,9.808386230E2
2.040436575E1,9.808122559E2
2.050433241E1,9.808061523E2
2.060429908E1,9.808190918E2
2.070426574E1,9.808171387E2
2.080423241E1,9.808327637E2
2.090419911E1,9.808347168E2
2.100416581E1,9.808327637E2
2.110413248E1,9.808056641E2
2.120409914E1,9.808183594E2
2.130406584E1,9.808269043E2
2.140403251E1,9.808464355E2
2.150399921E1,9.808374023E2
2.160396587E1,9.808134766E2
2.170393254E1,9.808059082E2
2.180389921E1,9.808173828E2
2.190386591E1,9.808149414E2
2.200383261E1,9.807980957E2
2.210379931E1,9.807902832E2
2.220376597E1,9.807868652E2
2.230373264E1,9.807937012E2
2.240369930E1,9.808161621E2
2.250366597E1,9.808117676E2
2.260363264E1,9.808073730E2
2.270359930E1,9.808120117E2
2.280356597E1,9.808249512E2
2.290353267E1,9.808542480E2
2.300349937E1,9.808862305E2
2.310349937E1,9.808776855E2
2.320349937E1,9.809360352E2
2.330349937E1,9.809157715E2
2.340349937E1,9.808876953E2
2.350349940E1,9.808769531E2
2.360349940E1,9.808322754E2
2.370349940E1,9.808198242E2
2.380349940E1,9.807990723E2
2.390349940E1,9.807797852E2
2.400349940E1,9.807695312E2
2.410349943E1,9.807822266E2
2.420349943E1,9.807722168E2
2.430349943E1,9.807607422E2
2.440349943E1,9.807426758E2
2.450349943E1,9.807451172E2
2.460349943E1,9.807231445E2
2.470349943E1,9.807524414E2
2.480349943E1,9.807397461E2
2.490349943E1,9.807290039E2
2.500349943E1,9.807617188E2
2.510349943E1,9.807717285E2
2.520349943E1,9.807810059E2
2.530349943E1,9.807739258E2
2.540349943E1,9.807819824E2
2.550349943E1,9.807824707E2
2.560349943E1,9.807783203E2
2.570349943E1,9.807988281E2
2.580349943E1,9.808066406E2
2.590349943E1,9.808002930E2
2.600349943E1,9.807988281E2
2.610346610E1,9.807944336E2
2.620343277E1,9.807751465E2
2.630339943E1,9.807890625E2
2.640336610E1,9.807751465E2
2.650333273E1,9.808002930E2
2.660199321E1,9.808051758E2
2.670195988E1,9.807861328E2
2.680192655E1,9.807934570E2
2.690189321E1,9.808225098E2
